category,changes,reasoning,phase,table_id,question,sql,result,query
Other,"['Update to LlamaIndex v0.6.13 (#18)', '* update streamlit demos to llama-index v0.6.13', '* update flask demo to use llama_index v0.6.13']","The commit message appears to be related to updating dependencies or demos, which doesn't fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,['finalized script'],"The commit message suggests completing or polishing existing functionality, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,['Update chatgpt_referee.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Feature,"['Altered prompt for better answers, ensuring DSL is enforced by including authors for context rules']",The commit introduces a new functionality or improves an existing one by altering the prompt and ensuring DSL enforcement.,,,,,,
Bug Fix,['problem fixed'],"The commit message contains the keyword 'fixed', indicating that a problem or defect has been resolved.",,,,,,
Feature,['update prompt dalle'],"The commit message starts with 'feat' and updates an existing feature, indicating the introduction of new functionality.",,,,,,
Feature,['added'],"The commit message starts with 'feat', which suggests new functionality has been added.",,,,,,
Refactor,['Revision of main generation for python'],The commit message describes a refinement or improvement to the existing main generation process for Python.,,,,,,
Refactor,['removed unnecessary imports'],"The commit message indicates that the developer has removed unnecessary imports, which implies that the code has been cleaned up or improved in some way.",,,,,,
Feature,"['Add model_name, max_n_iterations, and max_tokens']",The commit message mentions 'Add' which indicates the introduction of new functionality or features.,,,,,,
Bug Fix,['Fix'],"The commit message contains the keyword 'Fix', indicating a bug fix.",,,,,,
Feature,['fill in prompt as much as possible'],"The commit message suggests that the code is being updated to fill in a prompt, which could be related to improving the functionality or behavior of the software.",,,,,,
Feature,['dynamic flow builder complete'],"The commit message indicates that a new feature, dynamic flow builder, has been completed.",,,,,,
Feature,['minor enhancements'],"The commit message mentions 'enhancements', which suggests introducing new or improved functionality.",,,,,,
Other,['update'],"The commit message is too brief and doesn't provide enough context to categorize it into Bug Fix, Feature, or Refactor.",,,,,,
Other,['Updated demo website'],"The commit message suggests an update to the demo website, which is not related to bug fixes, features, or refactors.",,,,,,
Feature,['Updates to demo website with new NLP Engine'],The commit message introduces a new functionality or feature to the demo website.,,,,,,
"Refactor, Bug Fix","[""refactor code generator's chat structure (#78)"", 'Moving original chat content from ""executor"" to ""user"".', ""changed cg's prompt file name"", 'fixed typos in prompts', 'fixed old uts and add new uts']",The commit message explicitly mentions refactoring the code generator's chat structure and fixing defects or issues in the code.,,,,,,
Other,['Move to Langchain LCEL'],"The commit message does not fit into the defined categories of Bug Fix, Feature, or Refactor.",,,,,,
Feature,['Add Mixtral 8x22B'],"The commit message mentions 'Add', which is a keyword often used when introducing new functionality or features.",,,,,,
Other,['updating svamp results'],"The commit message suggests an update to existing data or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['langsmith tutorial + summaries'],"The commit message describes an update to documentation or tutorial, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['advisory cleaner now outputs summary descriptions as well'],"The commit introduces a new capability to the advisory cleaner, enhancing its functionality.",,,,,,
Bug Fix,['e2e ingestion working'],The commit message implies that something was not working previously and is now fixed.,,,,,,
Bug Fix,"['Without this change, the first query would work, but subsequent queries would generate an error from the Bedrock API:', ""ValueError: Error: Prompt must alternate between 'Human:' and 'Assistant:'.""]",The commit message is describing a change made to a Python file to fix an issue with the Bedrock API.,,,,,,
Refactor,['refactor query decomposition using langchain LCEL'],"The commit message contains the keyword 'refactor', which suggests that the commit is related to improving or enhancing the code structure or organization without changing its functionality.",,,,,,
Bug Fix,['fix badcase for 14b'],"The commit message contains the keyword 'fix', indicating that it addresses a problem or defect in the software.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,"['Added Streamlit support.', 'The agent will now generate the front-end using Streamlit.']",The commit message introduces new functionality by adding Streamlit support.,,,,,,
Feature,['updates default templates to interpolate df headers'],"The commit message describes a functional change to the default templates, which suggests a new feature or enhancement.",,,,,,
Other,['encoder files updated'],"The commit message does not provide enough context to determine if it's a bug fix, feature, or refactor.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['fixes in generatecode'],"The commit message contains the keyword 'fixes', indicating that it addresses a problem or defect in the software.",,,,,,
Feature,"['feat: ask users to confirm tables before query generation (#1339)', 'feat: ask users to confirm tables before text2sql']",The commit message starts with 'feat:' and introduces new functionality to ask users to confirm tables before query generation.,,,,,,
Other,"[""Merge branch 'main' into major/new-flows-ui""]","The commit message is related to a merge operation, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['Tweak planning prompt'],The commit message suggests a minor adjustment or refinement to the existing code or functionality.,,,,,,
Refactor,"['Updated the API code to use the prompt template.', 'Removed unused code from run_local_API.py', 'Standardized the API endpoint in the localGPTUI']","The commit message describes changes to the API code that improve its organization and structure, but do not introduce new functionality.",,,,,,
Feature,['Adding a better consolidation prompt'],The commit message indicates that a new or improved functionality is being added to the software.,,,,,,
Other,['syncing'],The commit message is too brief and doesn't fit into the defined categories.,,,,,,
Other,['Make up less stuff.'],The commit message does not fit into the defined categories.,,,,,,
Refactor,['Minor improvements'],"The commit message suggests making enhancements to the code, which is a characteristic of refactoring.",,,,,,
Bug Fix,['context drift 2'],"The commit message suggests that the commit is related to a problem or issue with context drift, which might be a bug or defect.",,,,,,
Feature,['adding multiple_scan mode feature'],"The commit message mentions adding a new feature, which suggests that the commit introduces new functionality to the software.",,,,,,
Feature,['adding support for SourceGPT extensions'],The commit message mentions adding new functionality to the software.,,,,,,
"Refactor, Feature","['Refactor code into separate modules', 'add --target-string argument', 'and support larger HTML file processing']",The commit message describes both a refactoring of the code and the introduction of new functionality.,,,,,,
Bug Fix,['bug fix'],"The commit message contains keywords 'bug' and 'fix', indicating a fix for a problem or defect in the software.",,,,,,
Feature,['ROS2 integration first commit'],"The commit message indicates that this is an initial commit for integrating ROS2 into the system, which suggests a new feature or functionality being added.",,,,,,
Feature,['Summarization Addition'],The commit message suggests that new functionality related to summarization is being added.,,,,,,
"Bug Fix, Feature","['General fixes and improvements.', 'Added sample setup to use GPU']",The commit message describes both fixing issues and introducing new functionality.,,,,,,
Other,['Change helpful assistant to expert in the subject'],"The commit message describes a change to the content or documentation of the software, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,"[""Merge branch 'main' of https://github.com/OpenBMB/BMTools into main""]","The commit message is related to a merge operation and does not fit into the defined categories of Bug Fix, Feature, or Refactor.",,,,,,
Feature,['Implemented the code-gen cycle: objective->description->architecture->ux flow->code flow->steps->final code'],"The commit message indicates that new functionality has been added to the software, specifically a code generation cycle.",,,,,,
Refactor,['Optimized code with a single LLM Chain.'],The commit message indicates an improvement in the code structure or organization.,,,,,,
Feature,['Bump steamship version with support for public Blocks'],The commit message introduces new functionality with support for public Blocks.,,,,,,
Refactor,['minor improvements'],"The commit message suggests that the code is being enhanced or refined in some way, which is consistent with the Refactor category.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Bug Fix,['Minor fix'],"The commit message mentions 'Minor fix', which suggests that the commit is addressing a small problem or defect in the software.",,,,,,
"Feature, Refactor",['Update more code to use langchain community as an optional dependency'],"The commit message suggests introducing a new way of using the langchain community as an optional dependency, which implies enhancing or modifying the code.",,,,,,
Other,"['Update notebook for extraction (#41)', 'Update extraciton notebook']","The commit message updates a notebook, which is likely a documentation or testing update, and does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,['Update extraction dataset'],"The commit message seems to be related to updating a dataset, which is not a bug fix or a new feature.",,,,,,
Bug Fix,['Fix opposite prompt typo'],"The commit message contains the keyword 'Fix' and mentions a 'typo', indicating a correction of an error or defect.",,,,,,
Feature,['Prompt engineered to deviate from the og tweet'],"The commit message describes a change to a prompt, which is likely a feature or functionality of the software.",,,,,,
Feature,['Registry'],The commit message suggests a new feature or functionality related to Registry.,,,,,,
Refactor,['clean up grpc calls'],"The commit message contains the phrase 'clean up', which is a common indicator of a refactoring change.",,,,,,
Bug Fix,['load_n_fix working'],The presence of 'fix' in the message suggests that it might be related to fixing an issue.,,,,,,
Bug Fix,['fix: chart tool'],"The commit message contains the keyword 'fix', indicating that it addresses a problem or defect in the software.",,,,,,
Feature,['use black text in chart generator'],The commit message starts with 'feat:' and introduces a new capability to the chart generator.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,['basic assistant hooked up'],The commit message suggests that new functionality related to a 'basic assistant' has been added.,,,,,,
Other,['Tweaks docs gen prompt'],"The commit message is related to updating or refining documentation, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['tweak docgen prompts.'],"The commit message suggests a small adjustment to documentation generation, which does not fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,[],The commit message does not provide any information about the changes made in the commit.,,,,,,
"Bug Fix, Feature, Refactor","['Fix logging for Automata provider', 'Add version flag for evals', 'Add Automata results for LC100', 'Add msft sparks for gpt-4-0613 on Automata agent', 'Add msft sparks for gpt-4 on Automata agent', 'Add LC100 for gpt-4 on Automata agent', 'Updated prompt', 'Update README.md', 'Remove double version falg', 'Readd py_interpreter flag for eval file construction']","The commit message contains a mix of bug fixes, feature additions, and refactoring changes.",,,,,,
Other,[],"The commit message suggests an update to the README file, which is a documentation change.",,,,,,
Feature,['add'],"The commit message contains the keyword 'add', suggesting new functionality or content is being introduced.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
"Feature, Refactor, Bug Fix","['provide information about the qa jobstatus field', 'add doc for lambda layer', 'simplify lambda layer', 'standardize observability pattern prop', 'standardize ingestion bus name in patterns props', 'fix typo in construct prop', 'last typo fix', 'typo', 'more typo', 'typo bucket']","The commit includes changes that introduce new functionality, improve code structure and organization, and fix defects.",,,,,,
Feature,['Added AI classifiers to manage memory states'],"The commit message mentions the addition of new functionality, specifically AI classifiers, which suggests a new feature being introduced.",,,,,,
Other,"['* proofread docs', '* proofreading docs', '* remove trailing whitespace', '* clarify sartography role', '* restore quick start and faq content']","The commit message is related to documentation updates, which do not introduce new functionality or fix a bug.",,,,,,
Other,"['Proof and ventilate all docs (#1822)', 'let us proof everything', 'proof and ventilate everything', 'restore removed content', 'add back in some headers', 'add back more headers', 'restore header', 'fix header', 'fix backend', 'restore two long files from main to avoid mangling', 'update edit_all for testing', 'fix docs', 'notes', 'more spacing']","The commit message is focused on updating and refining existing documentation, which does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Feature,['Use UIED for annotating also non-text elements on the screen'],"The commit message introduces a new functionality or enhances an existing one, adding a new capability to the software.",,,,,,
Bug Fix,['Model was hallucinating a label in a position where there was nothing'],The commit message indicates that there was an issue with the model and the commit is trying to address this issue.,,,,,,
Other,['update'],"The commit message is too brief and doesn't provide enough context to categorize it into Bug Fix, Feature, or Refactor.",,,,,,
Bug Fix,['fix typo'],"The commit message contains the keyword 'fix' and indicates a correction of a typo, which is a small error.",,,,,,
Refactor,['Improve LangChain sample'],"The commit message mentions 'Improve', which suggests enhancing or refining an existing functionality or code structure.",,,,,,
Bug Fix,['Fix prompt and handler for langchain bot'],"The commit message contains the keyword 'Fix' and mentions specific components being fixed, indicating a bug fix.",,,,,,
Other,['Update openagi_opentask.py'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Other,['readme and prompt changes'],"The commit message suggests updates to documentation or testing, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['prompt edit'],"The commit message suggests making changes to existing code or functionality, which is typical of refactoring.",,,,,,
Feature,['interactive questions'],The commit message suggests adding or modifying a feature that involves interactive questions.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Other,['Finished updates to the tutorial'],"The commit message indicates updates to a tutorial, which suggests documentation or educational content changes.",,,,,,
Feature,"['Implemented the following changes to make the bot feel more conversational:', '1. Maintain a list of past responses and add a check to ensure the new response is not in the list of past responses.', '2. Use the length of the previous_captions list to limit the number of previous captions stored.', '3. Use a similarity scoring function to compare previous responses to new ones and set a threshold to avoid repetitions.', '4. Changed the parameters and prompt for better response generation.']","The commit message describes changes made to a Python file to improve the conversational behavior of a bot, introducing new functionality.",,,,,,
Feature,"['Updates:', '- Prompt', '- Cosine similarity to 0.7 (reflected changes in main.py for better generations)']","The commit message mentions updates to the code that improve its functionality, which suggests the introduction of new features.",,,,,,
Bug Fix,"['- Fixed prompt for better generations', '- Fixed code spacing']","The commit message mentions 'Fixed' twice, which suggests that the commit is addressing some issues or defects in the code.",,,,,,
Other,['Update'],The commit message does not fit into the defined categories.,,,,,,
Other,['Update README'],"The commit message indicates an update to the README file, which is a documentation change.",,,,,,
Feature,['Added support for XStoryCloze'],The commit message indicates that new functionality has been added to the software.,,,,,,
Feature,['new prompts'],"The commit message suggests that something new is being added or introduced, which could indicate a new feature or functionality.",,,,,,
"Refactor, Feature",['combined the two visualization tools into one'],"The commit message indicates that two separate visualization tools have been merged into a single tool, implying a refactor or feature addition.",,,,,,
Bug Fix,['Fix commit message formatting'],The commit message contains the keyword 'Fix' and directly states the purpose of fixing an issue with commit message formatting.,,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
"Feature, Refactor","['feat(refacto):', 'changed a bit of things to make better dx']",The commit message contains keywords indicating both the introduction of new functionality (feat) and code restructuring or improvement (refacto).,,,,,,
Other,"['I/O Options,Themes updated']","The commit message does not provide enough context to determine if it's a Bug Fix, Feature, or Refactor, but it seems to be an update to existing functionality.",,,,,,
Other,"['update claude, prediction_accuracy and analyze results']","The commit message seems to be describing an update or analysis of existing functionality, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['update evaluation model'],"The commit message suggests that a new or updated evaluation model has been introduced, which is a new feature.",,,,,,
Other,['update evaluation prompt'],"The commit message does not fit into the defined categories, but suggests an update to the existing code or configuration.",,,,,,
"Feature, Refactor","['add Google search tool in ExecutionModule', 'Update templates for better readability']",The commit message indicates both the addition of a new feature (Google search tool) and an improvement to the code structure (updating templates for better readability).,,,,,,
"Refactor, Feature","['Refactor guardrail tools', 'add file utilities']",The commit refactors the guardrail tools and adds new functionality for file utilities.,,,,,,
Feature,['works with questions'],The commit message suggests introducing new functionality or making something compatible with questions.,,,,,,
Feature,['Add extra structure to findings and set custom base prompt'],The commit message mentions 'Add' which indicates the introduction of new functionality.,,,,,,
Feature,"['Update to production OpenAI', 'add company perspective']","The commit message mentions 'Update' and 'add', which suggests that new functionality or features are being introduced.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,['Add GPT function calling for consistant output'],"The commit message mentions the addition of new functionality, indicating the introduction of a new feature.",,,,,,
Other,"[""Merge branch 'main' into patch-1""]","The commit message is related to a merge operation, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,['spotify_agent can now play playlists'],"The commit message indicates that the spotify_agent has gained new functionality, specifically the ability to play playlists.",,,,,,
Feature,['Add inference code for test'],"The commit message contains keywords indicating the addition of new functionality, specifically related to testing.",,,,,,
Feature,['add human-eval'],"The commit message contains the keyword 'add' and the 'Feat' abbreviation, suggesting that new functionality is being introduced.",,,,,,
Bug Fix,['Bugfix for Coqui Engine'],"The commit message contains the keyword 'Bugfix', indicating that it addresses a problem or defect in the software.",,,,,,
Feature,['Feature/gra 900 server side api capabilities'],The commit message explicitly mentions 'Feature' and introduces new server side API capabilities.,,,,,,
Feature,['progressive summarization'],"The commit message introduces a new feature or functionality, specifically progressive summarization.",,,,,,
Feature,"['* Adds embedding based capabilites', '* dramatically updates chat API capabilities']","The commit message introduces new functionality with keywords 'Adds' and 'updates', indicating the introduction of new features.",,,,,,
Other,[],"The commit message is too vague to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Other,['trying new prompts'],"The commit message does not provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Feature, Refactor","['added brain (conditional probas)', 'improved prompts']","The commit message mentions adding new functionality and improving existing functionality, which fits into the Feature and Refactor categories.",,,,,,
Refactor,"['refactor: cleanup agent class objects (#384)', 'This PR represents an attempt to cleanup, document, and rationalize the existing set of classes in `agent` hierarchy.', 'in an attempt to simplify and reduce surface area for implementors.']",The commit message mentions refactoring keywords and explains the changes made to the code to simplify and rationalize it.,,,,,,
Bug Fix,['fix: small update to i18n-ai-tool system prompt'],"The commit message contains the keyword 'fix', indicating a Bug Fix.",,,,,,
Other,['updating with examples'],"The commit message suggests updating existing content or documentation, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
"Refactor, Feature","['Robustify prompt', 'add vote decision reasoner to enhance quality of responses']",The commit message mentions improving existing functionality and introducing new functionality to enhance the quality of responses.,,,,,,
Other,['release commit'],"The commit message suggests preparing the software for a new release, which is not a functional change.",,,,,,
Refactor,['updating local generation code'],The commit message suggests that the code is being improved or refactored in some way.,,,,,,
Other,['updating Llama 2 system prompt'],"The commit message does not provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
Bug Fix,['FIX: milestone reactor ai generator fixes'],The commit message contains the keyword 'FIX' and suggests that the commit is addressing specific issues or defects in the ai generator.,,,,,,
Other,"['META: run ruff, update config']","The commit message does not fit into the defined categories of Bug Fix, Feature, or Refactor.",,,,,,
Bug Fix,['fix expert human prompt'],"The commit message contains the keyword 'fix', indicating that it addresses a problem or defect in the software.",,,,,,
Bug Fix,['fix expert human prompt'],"The commit message contains the keyword 'fix', indicating that it addresses a problem or defect in the software.",,,,,,
Refactor,['Adapted the rest of the scripts to the PEP8 standard'],"The commit message indicates that the code has been modified to conform to a specific coding standard (PEP8), suggesting a refactoring effort.",,,,,,
Feature,['add segment anything component'],"The commit message contains the keyword 'add', which indicates the introduction of new functionality or a feature.",,,,,,
Refactor,['and the code more friendly to use'],"The commit message describes a change that makes the code more user-friendly, which is related to improving the code structure or organization.",,,,,,
Feature,['supporting huggingface space'],"The commit message mentions adding new functionality to support Hugging Face space, which falls under the Feature category.",,,,,,
Bug Fix,['fix: updates function name suggestion prompt'],"The commit message contains the keyword 'fix', indicating a bug fix.",,,,,,
Feature,['adds OpenAI Whisper to speak the text'],"The commit message starts with 'feat:' and explicitly states that it adds a new functionality, which suggests that it introduces new capabilities to the software.",,,,,,
Feature,['Finish implementing DnD bot and conditional configs'],The commit message mentions adding new functionality to the software.,,,,,,
Refactor,['Output GPT labels in a more organized directory.'],"The commit message describes a change that improves the organization of output labels, which is a refactoring effort.",,,,,,
Refactor,['Adjust the output directory'],"The commit message suggests making some adjustments to the existing code or configuration, which falls under the Refactor category.",,,,,,
Other,"['Working, with 90%+ accuracy on tiny sample.']","The commit message does not provide any specific information about what was changed or fixed, and does not fit into the defined categories.",,,,,,
Feature,['Render progress bar as a function of the number of prompt IDs.'],The commit message describes a new functionality or an enhancement to an existing feature.,,,,,,
Bug Fix,['path fix'],"The commit message contains the keyword 'fix', suggesting that it addresses a problem or defect in the software.",,,,,,
Refactor,['refactored'],"The commit message contains the keyword 'refactored', indicating a code restructuring or improvement.",,,,,,
Other,['update prompt'],"The commit message is brief and doesn't provide much context, but the word 'update' suggests that the commit is making changes to an existing functionality or feature, which doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['Update to be more modular'],The commit message indicates an improvement to the code structure without changing its functionality.,,,,,,
Refactor,['big refactor'],"The commit message explicitly mentions a big refactor, indicating a change to the code structure or organization.",,,,,,
Refactor,['update deprecated retrival to create_retrieval_chain'],"The commit message updates a deprecated functionality, improving the existing code structure or organization.",,,,,,
Other,['updated prompt'],"The commit message does not provide enough context to fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Refactor,['refactor: プロンプトの切り出しと重複処理のまとめ'],"The commit message starts with 'refactor', indicating that the commit is related to refactoring the code.",,,,,,
Bug Fix,['quick fix'],"The commit message contains the keyword 'fix', suggesting that it addresses a problem or defect in the software.",,,,,,
Feature,['prompt engineering for better results'],"The commit message suggests improving or modifying the way prompts are handled or processed to achieve better results, which is a functionality enhancement.",,,,,,
"Feature, Refactor","['add pandas and bingsearch tools', 'refactor']",The commit message introduces new functionality with 'add' and improves code structure with 'refactor'.,,,,,,
Refactor,['rename rolling_summaries to corpus_summaries'],"The commit message describes a renaming operation, which is a typical refactoring operation.",,,,,,
Other,['Update the prompts'],"The commit message suggests updating existing content or functionality, but doesn't fit into Bug Fix, Feature, or Refactor categories.",,,,,,
Feature,"['Add the feature of secondery retrive', 'Update basic prompt and combine prompt', 'Update tread pool', 'Separate functions into src.py', 'Update the max tokens']","The commit message describes a new functionality related to a chatbot, and the changes listed suggest that this functionality is being implemented or updated.",,,,,,
Refactor,"['Update the prompt', 'Update the main function', 'Update the basic prompt', 'Update the combine prompt', 'Update the flask api', 'Update the knowledge database', 'Update the controler of tokens']","The commit message describes a series of updates to various components of the system, improving or enhancing the existing code structure.",,,,,,
Feature,['Support ChatML prompt format in worker'],The commit message mentions the addition of new functionality to support a specific format in a component.,,,,,,
Other,"['English correction in the Prompts', 'Just two small correction that need to be done in both scripts, two of them related to the typo ""extremly""']","The commit message is about updating or refining existing content, specifically correcting English typos and asking about contractions.",,,,,,
Other,['* Add nemo guardrails to test matrix'],"The commit message is related to testing and does not fit into the categories of Bug Fix, Feature, or Refactor.",,,,,,
Other,['minor changes'],"The commit message is too brief and doesn't provide enough information to categorize it as Bug Fix, Feature, or Refactor.",,,,,,
"Bug Fix, Feature","['Bugfix for RSS format change.', 'Also added title filtering.']",The commit message addresses a bug fix and also introduces new functionality.,,,,,,
"Refactor, Feature","['partly combine CreateNewTool and ExecuteSkill', 'test & clean up', 'removed old notebook', 'update CreateNewTool to execute as well (#62)', 'updated pydantic field for createnewtool', 'updated createnewtool description & _run args']","The commit message appears to be a mix of refactoring and feature updates, with changes to code structure and new functionality added.",,,,,,
Feature,['add automatic eval'],"The commit message indicates that a new functionality is being added to the software, which fits the Feature category.",,,,,,
Other,['trying new doctor prompt'],The commit message does not fit into the defined categories.,,,,,,
Feature,['new doctor prompt'],The commit message suggests that a new feature or functionality is being introduced.,,,,,,
Refactor,['Update API client and prompt'],"The commit message suggests that the existing functionality has been modified or improved, which is a characteristic of a refactor.",,,,,,
Refactor,['Improvements'],"The commit message suggests enhancements to the code, but it's not clear what kind of improvement.",,,,,,
Other,['Back up local changes from robot'],The commit message does not fit into the defined categories.,,,,,,
Refactor,['Clean up autoeval_from_expected'],"The commit message contains the phrase 'Clean up', indicating a refactoring or reorganization of the code.",,,,,,
"Feature, Bug Fix","['Add fine tuning experiment', 'Finish example', 'Address comments']","The commit message introduces new functionality (fine tuning experiment) and addresses comments, which suggests both feature addition and bug fixing.",,,,,,
Bug Fix,['Fix the readme parsing'],"The commit message contains the keyword 'Fix', indicating that it addresses a specific issue.",,,,,,
Refactor,['improve prompt'],"The commit message uses the keyword 'improve', suggesting an enhancement to the existing code or functionality.",,,,,,
Bug Fix,['fix'],"The commit message contains the keyword 'fix', suggesting that it addresses a problem or defect in the software.",,,,,,
Refactor,"['Improving dataset', 'making buttons more intuitive']",The commit message suggests improvements to the existing code structure or functionality.,,,,,,
Bug Fix,"['Fix typo in text_utils.py', 'Fixed the misspelling of ""retrieved"" in text_utils.py']","The commit message mentions 'Fix' and 'typo', which are strong indicators of a bug fix.",,,,,,
"Bug Fix, Feature","['Lots of fixes', 'more robust prompts, and more options']","The commit message mentions fixes, which suggests bug fixes, and also mentions improvements and new functionality, which suggests feature additions.",,,,,,
"Feature, Bug Fix","['More robustness features', 'bug fixes']","The commit message mentions both new features and bug fixes, indicating that it belongs to both categories.",,,,,,
Feature,['action picker and some prompting'],The commit message seems to be describing a new functionality or feature.,,,,,,
Bug Fix,['type hint fix'],"The commit message contains the keyword 'fix', indicating a correction or bug fix.",,,,,,
Other,[],The commit message does not fit into the defined categories.,,,,,,
Feature,['feat(mistral_prompt): formatting as of chat template'],"The commit message starts with 'feat', indicating the introduction of new functionality or enhancement of existing functionality.",,,,,,
